===============================================================
Gobuster v3.8
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:            https://www.silabs.com/wireless/wi-fi/siwx917y-wireless-modules
[+] Method:         GET
[+] Threads:        100
[+] Wordlist:       /home/yaniv/wl/yaniv_wordlist/dir-all.txt
[+] Status codes:   500,200,301,302,403,401
[+] User Agent:     gobuster/3.8
[+] Timeout:        10s
===============================================================
Starting gobuster in directory enumeration mode
===============================================================
/aaatoplinks          (Status: 403) [Size: 442]
/aaatexas             (Status: 403) [Size: 439]
/aaauns               (Status: 403) [Size: 437]
/aaaueaaee            (Status: 403) [Size: 440]
/aabcehmu             (Status: 403) [Size: 439]
/aab                  (Status: 403) [Size: 434]
/aabd                 (Status: 403) [Size: 435]
/AAB                  (Status: 403) [Size: 434]
/aabbs                (Status: 403) [Size: 436]
/aablog               (Status: 403) [Size: 437]
/AABobby              (Status: 403) [Size: 438]
/aabrrootkits         (Status: 403) [Size: 443]
/aAbout               (Status: 403) [Size: 437]
/aabrsilencewire      (Status: 403) [Size: 446]
/aabw                 (Status: 403) [Size: 435]
/aabybdesktops        (Status: 403) [Size: 444]
/aabyblogbook         (Status: 403) [Size: 443]
/AAC                  (Status: 403) [Size: 434]
/aabyblaptops         (Status: 403) [Size: 443]
/aac                  (Status: 403) [Size: 434]
/aacanada             (Status: 403) [Size: 439]
/aacap                (Status: 403) [Size: 436]
/aacc                 (Status: 403) [Size: 435]
/aaCareers            (Status: 403) [Size: 440]
/aace                 (Status: 403) [Size: 435]
/aachen               (Status: 403) [Size: 437]
/Aachen               (Status: 403) [Size: 437]
/aacockpt             (Status: 403) [Size: 439]
/aacid                (Status: 403) [Size: 436]
/aacj                 (Status: 403) [Size: 435]
/aaContactUs          (Status: 403) [Size: 442]
/aaContractOfCarriage (Status: 403) [Size: 451]
/AACreditCard         (Status: 403) [Size: 443]
/aacooldark           (Status: 403) [Size: 441]
/aacouple             (Status: 403) [Size: 439]
/AAD                  (Status: 403) [Size: 434]
/AACruises            (Status: 403) [Size: 440]
/AADC                 (Status: 403) [Size: 435]
/aad                  (Status: 403) [Size: 434]
